"Estimate","Est.Error","Q2.5","Q97.5","Region","IceCover","metrics"
1.24913600460563,0.22339679126835,0.725085747030672,1.75990469603761,"Baffin Bay",0.632694811578923,"Chl"
1.25495693713888,0.210026018282543,0.763834016035788,1.73891450182677,"Baffin Bay",0.640115118415713,"Chl"
1.2599336591473,0.199246787410983,0.789847522976034,1.72143544850499,"Baffin Bay",0.647535425252502,"Chl"
1.26406514155423,0.190744775712595,0.816227601732401,1.70668180697106,"Baffin Bay",0.654955732089292,"Chl"
1.26736425601433,0.184165818055275,0.835677919456541,1.69636239014197,"Baffin Bay",0.662376038926081,"Chl"
1.26987431518438,0.1791631968428,0.853112906122989,1.6863765452041,"Baffin Bay",0.669796345762871,"Chl"
1.27167168502506,0.175433574889724,0.86431084336757,1.67905088765095,"Baffin Bay",0.67721665259966,"Chl"
1.27285340858345,0.17272592858575,0.87486586538476,1.67670151413948,"Baffin Bay",0.684636959436449,"Chl"
1.27353550932292,0.170837776832505,0.881458127565125,1.67141066141052,"Baffin Bay",0.692057266273239,"Chl"
1.27384627592233,0.169599024262958,0.885947718913879,1.66642986065445,"Baffin Bay",0.699477573110028,"Chl"
1.2739238165108,0.168855928871028,0.886928730662931,1.66495554183532,"Baffin Bay",0.706897879946818,"Chl"
1.27391748548513,0.16846010135071,0.887380555591228,1.66577871456994,"Baffin Bay",0.714318186783607,"Chl"
1.27398374223175,0.168261228925404,0.885899518192036,1.6647867971706,"Baffin Bay",0.721738493620397,"Chl"
1.27428214178419,0.168105878485671,0.885801061171139,1.66542031689556,"Baffin Bay",0.729158800457186,"Chl"
1.27497059306705,0.167841369114244,0.885141828567566,1.66607428968621,"Baffin Bay",0.736579107293975,"Chl"
1.27619872429759,0.167332222401002,0.888406864546121,1.66677112880312,"Baffin Bay",0.743999414130765,"Chl"
1.27810144743277,0.166479138642453,0.894298400441728,1.66386364058294,"Baffin Bay",0.751419720967554,"Chl"
1.28079838036688,0.165222801121287,0.899457574080806,1.6626013552692,"Baffin Bay",0.758840027804344,"Chl"
1.28439470823665,0.163542423692732,0.905638363982837,1.66377326837689,"Baffin Bay",0.766260334641133,"Chl"
1.28898156119439,0.161452705578565,0.916069665185578,1.66337568791687,"Baffin Bay",0.773680641477923,"Chl"
1.29462569266051,0.159011625905769,0.92701852055156,1.6635498709282,"Baffin Bay",0.781100948314712,"Chl"
1.30136858794419,0.156311366241515,0.940229068110427,1.66509016466837,"Baffin Bay",0.788521255151501,"Chl"
1.30923162268443,0.153457957537683,0.952505341580005,1.66690812746509,"Baffin Bay",0.795941561988291,"Chl"
1.31821438658495,0.150558217376099,0.968198630553204,1.67183674912665,"Baffin Bay",0.80336186882508,"Chl"
1.32829498552617,0.147705894874753,0.985103876096051,1.67454861302512,"Baffin Bay",0.81078217566187,"Chl"
1.33943760394891,0.144963474542147,1.00507066475439,1.67928159240907,"Baffin Bay",0.818202482498659,"Chl"
1.3515964648119,0.142357336533485,1.02554968410403,1.68435578083136,"Baffin Bay",0.825622789335449,"Chl"
1.36471910206445,0.139881466650827,1.04412615885124,1.69246786536272,"Baffin Bay",0.833043096172238,"Chl"
1.37874998835357,0.137509489903422,1.06468866216537,1.70027977123701,"Baffin Bay",0.840463403009027,"Chl"
1.39363317644023,0.135219031995445,1.08627697736416,1.70834265534539,"Baffin Bay",0.847883709845817,"Chl"
1.40931549750572,0.133014492100222,1.10643771135626,1.71876425102782,"Baffin Bay",0.855304016682606,"Chl"
1.42574848426556,0.130931308767079,1.12876388974559,1.73102200074178,"Baffin Bay",0.862724323519396,"Chl"
1.44288859193946,0.12902501208819,1.149976280916,1.74480527338239,"Baffin Bay",0.870144630356185,"Chl"
1.46069651685455,0.12735365527539,1.1716955589426,1.75822488032492,"Baffin Bay",0.877564937192974,"Chl"
1.47913589039174,0.125958635896013,1.19399447474535,1.7740186838307,"Baffin Bay",0.884985244029764,"Chl"
1.49817132526764,0.124850300282901,1.21567073492192,1.79163678067373,"Baffin Bay",0.892405550866553,"Chl"
1.51776583102179,0.124001100944697,1.23792531726671,1.80790794457584,"Baffin Bay",0.899825857703343,"Chl"
1.53787732137563,0.123351205359796,1.25917251248144,1.82809379097442,"Baffin Bay",0.907246164540132,"Chl"
1.558456287428,0.122819574629363,1.28021467630819,1.84873186860548,"Baffin Bay",0.914666471376922,"Chl"
1.57944201495107,0.122325650453221,1.30239710193805,1.86831066757489,"Baffin Bay",0.922086778213711,"Chl"
1.60075798483903,0.121815346194423,1.32366827192801,1.88885257805083,"Baffin Bay",0.929507085050501,"Chl"
1.62230745002848,0.121281356087514,1.34670764604641,1.90823050101934,"Baffin Bay",0.93692739188729,"Chl"
1.64397208445904,0.120767411263403,1.36854052816538,1.92757170143906,"Baffin Bay",0.944347698724079,"Chl"
1.66561381798553,0.120355934559726,1.39052803823391,1.94773727958987,"Baffin Bay",0.951768005560869,"Chl"
1.68707810253088,0.120146108752274,1.41317793182166,1.96772174944443,"Baffin Bay",0.959188312397658,"Chl"
1.70818802389996,0.120240207902619,1.43234374439897,1.98866605417936,"Baffin Bay",0.966608619234448,"Chl"
1.72874545751506,0.120720335526266,1.45378619409935,2.00884964682136,"Baffin Bay",0.974028926071237,"Chl"
1.74853526784679,0.121628656588801,1.4716239981163,2.03192023121077,"Baffin Bay",0.981449232908026,"Chl"
1.7673301588973,0.122960749684374,1.48644816255876,2.05202501395725,"Baffin Bay",0.988869539744816,"Chl"
1.78489164714333,0.124679007416752,1.4992360719391,2.07625475571453,"Baffin Bay",0.996289846581605,"Chl"
