"SST","y","ymin","ymax","Region"
-1.78020136183308,0.378282429043584,0,0.833101327593928,"East Siberian Sea"
-1.76015302609806,0.45022934812433,0.0424167692313358,0.887126859513508,"East Siberian Sea"
-1.74010469036305,0.519904200926915,0.121149308630064,0.937978074047449,"East Siberian Sea"
-1.72005635462804,0.592273753151447,0.194718919795055,0.997442540657423,"East Siberian Sea"
-1.70000801889302,0.659929540684475,0.270369666823236,1.06166832402677,"East Siberian Sea"
-1.67995968315801,0.723999346648536,0.337685357507427,1.1294044166323,"East Siberian Sea"
-1.659911347423,0.79430496355502,0.412585511200025,1.18601072497283,"East Siberian Sea"
-1.63986301168798,0.859296871960814,0.487496499843781,1.24547813643162,"East Siberian Sea"
-1.61981467595297,0.923590737663239,0.552025493854897,1.30326726011518,"East Siberian Sea"
-1.59976634021796,0.985575526982494,0.625695389880453,1.35354475872118,"East Siberian Sea"
-1.57971800448294,1.04894719344486,0.690614647890172,1.40794497413039,"East Siberian Sea"
-1.55966966874793,1.11366933051306,0.754405056617811,1.45870433407151,"East Siberian Sea"
-1.53962133301292,1.16890568583519,0.819955686581086,1.50550673311479,"East Siberian Sea"
-1.5195729972779,1.22329392111675,0.88334073767282,1.54943407667018,"East Siberian Sea"
-1.49952466154289,1.27944498003774,0.94259781534131,1.60015385821289,"East Siberian Sea"
-1.47947632580788,1.33337564770203,1.0057799236711,1.64545296652435,"East Siberian Sea"
-1.45942799007286,1.37996655725344,1.06340339988098,1.68168136762968,"East Siberian Sea"
-1.43937965433785,1.42155772901022,1.11971380407436,1.7199043288474,"East Siberian Sea"
-1.41933131860283,1.4742199828743,1.17356483527034,1.76310877209779,"East Siberian Sea"
-1.39928298286782,1.52415421187403,1.22207896986837,1.80222726903143,"East Siberian Sea"
-1.37923464713281,1.56581814416656,1.27139322366931,1.83829741384879,"East Siberian Sea"
-1.35918631139779,1.60611093349579,1.32011959409714,1.86746008460572,"East Siberian Sea"
-1.33913797566278,1.64331556117209,1.36858911666739,1.89551175847963,"East Siberian Sea"
-1.31908963992777,1.67486468257749,1.41298169334248,1.92221121626057,"East Siberian Sea"
-1.29904130419275,1.70664783365331,1.45486520432418,1.94948724361281,"East Siberian Sea"
-1.27899296845774,1.73394034714305,1.49409236083366,1.97633049309249,"East Siberian Sea"
-1.25894463272273,1.75821152907087,1.53516805428975,2.00182293944295,"East Siberian Sea"
-1.23889629698771,1.78241675071348,1.57367784251993,2.01701226225363,"East Siberian Sea"
-1.2188479612527,1.80818238384271,1.60056323410435,2.03374114587655,"East Siberian Sea"
-1.19879962551769,1.82677847146816,1.62844106957786,2.05337043321472,"East Siberian Sea"
-1.17875128978267,1.8517937479416,1.65032316375415,2.06453980418538,"East Siberian Sea"
-1.15870295404766,1.87013870618964,1.68547869633421,2.07467598470692,"East Siberian Sea"
-1.13865461831265,1.89006818041039,1.70866881736592,2.09232055197991,"East Siberian Sea"
-1.11860628257763,1.91150951254634,1.73409803856313,2.1014343103439,"East Siberian Sea"
-1.09855794684262,1.92586534685078,1.75946240332177,2.10939247428869,"East Siberian Sea"
-1.0785096111076,1.93907642327462,1.77246246094331,2.11335743782445,"East Siberian Sea"
-1.05846127537259,1.95245096827419,1.79126717642641,2.1227597764023,"East Siberian Sea"
-1.03841293963758,1.96271369999797,1.80104092143573,2.13346382010272,"East Siberian Sea"
-1.01836460390256,1.97338893323853,1.81697744449562,2.14544242478588,"East Siberian Sea"
-0.99831626816755,1.97900758222159,1.83148831855106,2.14527001842526,"East Siberian Sea"
-0.978267932432537,1.98394104874284,1.84153186776665,2.15131193226574,"East Siberian Sea"
-0.958219596697523,1.98901520596098,1.84882621782155,2.15513795555769,"East Siberian Sea"
-0.93817126096251,1.99848808077677,1.85207872366072,2.15638562210404,"East Siberian Sea"
-0.918122925227496,1.99974908522609,1.85109312343154,2.15428365209249,"East Siberian Sea"
-0.898074589492483,2.00147959519257,1.85521091250674,2.1525437246038,"East Siberian Sea"
-0.878026253757469,2.00107493757595,1.85601996441752,2.15499737081621,"East Siberian Sea"
-0.857977918022456,2.00061889267986,1.85672607229312,2.15233459446488,"East Siberian Sea"
-0.837929582287442,2.00009957695938,1.85216758392103,2.15076540741331,"East Siberian Sea"
-0.817881246552429,1.99722263643695,1.84980897278104,2.14989862915596,"East Siberian Sea"
-0.797832910817415,1.99219969451866,1.85011097238083,2.1460619582854,"East Siberian Sea"
-0.777784575082402,1.98887559405572,1.84060034629954,2.14033288081189,"East Siberian Sea"
-0.757736239347388,1.98117315825163,1.83076348184344,2.13590017895006,"East Siberian Sea"
-0.737687903612375,1.97357068640527,1.82054926991429,2.12885952822393,"East Siberian Sea"
-0.717639567877361,1.96950769860758,1.80702955441254,2.1233508521783,"East Siberian Sea"
-0.697591232142348,1.9614518457744,1.79988923105362,2.11370182335421,"East Siberian Sea"
-0.677542896407334,1.95089629453137,1.78745209243668,2.10359820979197,"East Siberian Sea"
-0.65749456067232,1.94012984704103,1.771705418091,2.09921232623324,"East Siberian Sea"
-0.637446224937307,1.93036460151024,1.75730611885672,2.0894259085715,"East Siberian Sea"
-0.617397889202294,1.91829083497948,1.74125493781596,2.07455727508563,"East Siberian Sea"
-0.59734955346728,1.90731706508671,1.72364569203437,2.05838824942574,"East Siberian Sea"
-0.577301217732267,1.89234902965196,1.70981107072749,2.04336016620868,"East Siberian Sea"
-0.557252881997253,1.8790754929613,1.69563052472457,2.02863824476308,"East Siberian Sea"
-0.537204546262239,1.86421661095663,1.68546813390721,2.01013772174534,"East Siberian Sea"
