"Estimate","Est.Error","Q2.5","Q97.5","Region","SST","metrics"
2.59750444866342,0.367414331014027,2.15901608907497,3.05136107275159,"Baffin Bay",-1.1338721588531,"Chl"
2.54381636810348,0.343835857807451,2.13111796393004,2.96777843538203,"Baffin Bay",-1.09076363039142,"Chl"
2.48955647716957,0.321325482373385,2.10361492139372,2.88298804675015,"Baffin Bay",-1.04765510192974,"Chl"
2.43465443570103,0.299826023153845,2.07206416965273,2.80242301412031,"Baffin Bay",-1.00454657346807,"Chl"
2.37907547661626,0.279284185663527,2.04308055289046,2.72425933282458,"Baffin Bay",-0.961438045006387,"Chl"
2.32282697888601,0.259678004519251,2.01023255551948,2.64387124297085,"Baffin Bay",-0.918329516544708,"Chl"
2.26595437162313,0.24102905020098,1.97488842494357,2.56472326613719,"Baffin Bay",-0.875220988083029,"Chl"
2.20854387745302,0.223410449606735,1.93839001084804,2.48567866167331,"Baffin Bay",-0.832112459621351,"Chl"
2.15071459021804,0.206935923364331,1.90004489689899,2.40913399055351,"Baffin Bay",-0.789003931159672,"Chl"
2.09260931258401,0.191739142836737,1.86004141575653,2.33052935373009,"Baffin Bay",-0.745895402697993,"Chl"
2.03438708813556,0.177950891151832,1.81815184865578,2.25366735076204,"Baffin Bay",-0.702786874236314,"Chl"
1.9762162923164,0.165680431830329,1.77430465563941,2.18010490472903,"Baffin Bay",-0.659678345774635,"Chl"
1.91826833978054,0.155005634278373,1.72975455660979,2.10757522999766,"Baffin Bay",-0.616569817312956,"Chl"
1.86071171501189,0.145965394351802,1.68247888671948,2.03903776517471,"Baffin Bay",-0.573461288851277,"Chl"
1.80370804244089,0.138556025836824,1.63410733385614,1.97313945325142,"Baffin Bay",-0.530352760389599,"Chl"
1.74741013893458,0.132731477755056,1.58429393427721,1.90858334697671,"Baffin Bay",-0.48724423192792,"Chl"
1.6919620494142,0.128403683277719,1.53594146383776,1.84912982532596,"Baffin Bay",-0.444135703466241,"Chl"
1.63749698513983,0.125449092516078,1.4859725315818,1.79222713494602,"Baffin Bay",-0.401027175004562,"Chl"
1.58413436824086,0.123720204081981,1.43546995613421,1.73621236786557,"Baffin Bay",-0.357918646542883,"Chl"
1.53197900205397,0.123055163582489,1.38338781369185,1.68441828379101,"Baffin Bay",-0.314810118081204,"Chl"
1.48112300809402,0.12328217283396,1.33320840850662,1.63409656541001,"Baffin Bay",-0.271701589619526,"Chl"
1.43164379692116,0.124228026961499,1.28197066124369,1.58668531940614,"Baffin Bay",-0.228593061157847,"Chl"
1.3836045106253,0.125724117060697,1.23078732214432,1.54085544442881,"Baffin Bay",-0.185484532696168,"Chl"
1.33705386507768,0.12761390209851,1.1822493101579,1.49603502403753,"Baffin Bay",-0.142376004234489,"Chl"
1.29202776373176,0.12975885351099,1.13502346730988,1.45339332719554,"Baffin Bay",-0.0992674757728102,"Chl"
1.24855057606837,0.132044736161096,1.08806739322684,1.41258038334901,"Baffin Bay",-0.0561589473111313,"Chl"
1.20663853376692,0.134381485682661,1.04183321197248,1.37253935866302,"Baffin Bay",-0.0130504188494526,"Chl"
1.16630258292341,0.13670181015652,0.998641425626173,1.33549122158069,"Baffin Bay",0.0300581096122262,"Chl"
1.12754990686896,0.138960018115028,0.956476061018907,1.29895242797305,"Baffin Bay",0.0731666380739051,"Chl"
1.0903856580054,0.141126429392192,0.917237425662652,1.26489888114138,"Baffin Bay",0.116275166535584,"Chl"
1.05481428073661,0.14318054668885,0.877910954331251,1.23114189271297,"Baffin Bay",0.159383694997263,"Chl"
1.02084024296911,0.145109778749133,0.84284504798388,1.19921477132076,"Baffin Bay",0.202492223458942,"Chl"
0.988468636233357,0.146906155987417,0.809834425104676,1.1696906346444,"Baffin Bay",0.24560075192062,"Chl"
0.957705197447475,0.148557004029239,0.77824275685497,1.13973041496591,"Baffin Bay",0.288709280382299,"Chl"
0.928555937319073,0.150039501957941,0.746257715731314,1.11218007227288,"Baffin Bay",0.331817808843978,"Chl"
0.901026465815363,0.151324425276805,0.716132849748982,1.08699439822636,"Baffin Bay",0.374926337305657,"Chl"
0.875121235463319,0.152375709524329,0.688358046361706,1.06280307047859,"Baffin Bay",0.418034865767336,"Chl"
0.850842517476723,0.1531521705851,0.662819289900548,1.03951032856619,"Baffin Bay",0.461143394229015,"Chl"
0.828188987689374,0.153615468237351,0.640096218958329,1.01759215692606,"Baffin Bay",0.504251922690693,"Chl"
0.807154926961726,0.153735282936152,0.619403362334233,0.996796614631993,"Baffin Bay",0.547360451152372,"Chl"
0.787729380697732,0.153494424885707,0.600737977878391,0.977127057537468,"Baffin Bay",0.590468979614051,"Chl"
0.769895116321417,0.152892955436568,0.583719326216819,0.959211912643412,"Baffin Bay",0.63357750807573,"Chl"
0.753623606002723,0.151960202233413,0.569166943270526,0.941883255296849,"Baffin Bay",0.676686036537409,"Chl"
0.738875650594056,0.150749298740497,0.556516079165173,0.925216373476893,"Baffin Bay",0.719794564999088,"Chl"
0.725602821990112,0.14932674276023,0.546392894339313,0.910748683665937,"Baffin Bay",0.762903093460766,"Chl"
0.713747986890622,0.147762743165638,0.536906830876936,0.895812727397576,"Baffin Bay",0.806011621922445,"Chl"
0.703246270238232,0.146121499660522,0.528266128765307,0.884158852740722,"Baffin Bay",0.849120150384124,"Chl"
0.694024360357475,0.144455735047351,0.520891030889899,0.87344226463222,"Baffin Bay",0.892228678845803,"Chl"
0.686001035286911,0.142802446827371,0.514299605332044,0.862246419521437,"Baffin Bay",0.935337207307482,"Chl"
