"IceCover","y","ymin","ymax","Region"
0.381794649687176,2.01585721885822,1.86272677930243,2.1602679904601,"Beaufort Sea"
0.38610278158455,2.0199242087059,1.86637552187746,2.16199839429038,"Beaufort Sea"
0.390410913481924,2.02404787252825,1.86875013808441,2.16125921477284,"Beaufort Sea"
0.394719045379297,2.02870800337478,1.86752191312236,2.16548820445469,"Beaufort Sea"
0.399027177276671,2.0316105159174,1.87151500483349,2.1704937859569,"Beaufort Sea"
0.403335309174045,2.036671237782,1.87694527976161,2.17610165167589,"Beaufort Sea"
0.407643441071418,2.03783479687535,1.8791620395001,2.18495069896651,"Beaufort Sea"
0.411951572968792,2.04249733343891,1.88274131894321,2.18948520037917,"Beaufort Sea"
0.416259704866166,2.04624571405027,1.88552990748215,2.19241438181202,"Beaufort Sea"
0.420567836763539,2.0494070393392,1.88870251935723,2.19611558540313,"Beaufort Sea"
0.424875968660913,2.05336603493024,1.8951252755297,2.20151358970712,"Beaufort Sea"
0.429184100558287,2.05798167128283,1.90006166389114,2.20645923214763,"Beaufort Sea"
0.43349223245566,2.06158527904264,1.90317703243913,2.21230821892585,"Beaufort Sea"
0.437800364353034,2.06424829599449,1.90818660227151,2.21826645776323,"Beaufort Sea"
0.442108496250407,2.06826956062235,1.9130281618505,2.2172868990644,"Beaufort Sea"
0.446416628147781,2.07390332842898,1.91772040523717,2.22109729240844,"Beaufort Sea"
0.450724760045155,2.07694369013094,1.92069788894364,2.22668507239372,"Beaufort Sea"
0.455032891942528,2.07880009255685,1.92265857761873,2.23188566670205,"Beaufort Sea"
0.459341023839902,2.08312398035834,1.92764080826237,2.23560520947783,"Beaufort Sea"
0.463649155737276,2.08596026550628,1.93166852418957,2.23992996569456,"Beaufort Sea"
0.467957287634649,2.08803819302565,1.935397461847,2.2407118927382,"Beaufort Sea"
0.472265419532023,2.09015703357862,1.94025473561299,2.24489277090387,"Beaufort Sea"
0.476573551429397,2.09528574843276,1.94569145742431,2.24505041026749,"Beaufort Sea"
0.48088168332677,2.09935735238754,1.94959503875978,2.24670870897522,"Beaufort Sea"
0.485189815224144,2.10236967866827,1.95564077766928,2.25041768245714,"Beaufort Sea"
0.489497947121518,2.1054302805268,1.95500254026772,2.25453863258602,"Beaufort Sea"
0.493806079018891,2.10704988709425,1.9572030851323,2.2573159481546,"Beaufort Sea"
0.498114210916265,2.11208210483331,1.95933881346446,2.26069415029888,"Beaufort Sea"
0.502422342813639,2.11671624609928,1.96329742149401,2.26338112186528,"Beaufort Sea"
0.506730474711012,2.12064375379402,1.96773897802065,2.26404013912027,"Beaufort Sea"
0.511038606608386,2.1218462803835,1.9722713573241,2.26577195029335,"Beaufort Sea"
0.51534673850576,2.12549596644604,1.97173666700504,2.27073882180723,"Beaufort Sea"
0.519654870403133,2.12847399329117,1.97338592149475,2.27107874311842,"Beaufort Sea"
