"Estimate","Est.Error","Q2.5","Q97.5","Region","SST","metrics"
2.01766953201825,0.367414331014027,1.67706391583094,2.37021279052876,"Baffin Bay",-1.68765537677273,"Chl"
1.97596611763754,0.343835857807451,1.65539342470461,2.30528811218488,"Baffin Bay",-1.62349264089896,"Chl"
1.93381853679151,0.321325482373385,1.634029822809,2.23942528610249,"Baffin Bay",-1.55932990502519,"Chl"
1.89117215119102,0.299826023153845,1.6095220724824,2.17684459956433,"Baffin Bay",-1.49516716915142,"Chl"
1.84799995472979,0.279284185663527,1.58700840152448,2.11612921625019,"Baffin Bay",-1.43100443327765,"Chl"
1.80430767918796,0.259678004519251,1.56149298671265,2.05368597396105,"Baffin Bay",-1.36684169740388,"Chl"
1.76013061264249,0.24102905020098,1.534038644744,1.99220601712774,"Baffin Bay",-1.30267896153011,"Chl"
1.71553573044133,0.223410449606735,1.50568768729889,1.93080635708894,"Baffin Bay",-1.23851622565634,"Chl"
1.67061554138356,0.206935923364331,1.47590226454184,1.87134857604981,"Baffin Bay",-1.17435348978257,"Chl"
1.62548097062586,0.191739142836737,1.44482866806837,1.81029067069163,"Baffin Bay",-1.1101907539088,"Chl"
1.58025555882092,0.177950891151832,1.41229001224736,1.75058639505955,"Baffin Bay",-1.04602801803503,"Chl"
1.53507009535118,0.165680431830329,1.37823072682084,1.69344512389141,"Baffin Bay",-0.981865282161263,"Chl"
1.49005773037348,0.155005634278373,1.34362544346639,1.63710608087342,"Baffin Bay",-0.917702546287494,"Chl"
1.44534933796966,0.145965394351802,1.30690301213715,1.58386807596982,"Baffin Bay",-0.853539810413724,"Chl"
1.40107046352198,0.138556025836824,1.26932932925896,1.53268009196176,"Baffin Bay",-0.789377074539954,"Chl"
1.35733981094133,0.132731477755056,1.23063565977617,1.48253469613646,"Baffin Bay",-0.725214338666185,"Chl"
1.31426927033399,0.128403683277719,1.19307679959647,1.43635284675882,"Baffin Bay",-0.661051602792415,"Chl"
1.27196231651825,0.125449092516078,1.1542623166368,1.39215241248101,"Baffin Bay",-0.596888866918646,"Chl"
1.23051171329745,0.123720204081981,1.1150333144222,1.34864169243605,"Baffin Bay",-0.532726131044876,"Chl"
1.18999886900157,0.123055163582489,1.07457734830354,1.3084094820813,"Baffin Bay",-0.468563395171107,"Chl"
1.15049534107256,0.12328217283396,1.03559937580031,1.26932096462818,"Baffin Bay",-0.404400659297337,"Chl"
1.11206125989008,0.124228026961499,0.99579931247611,1.23249322152797,"Baffin Bay",-0.340237923423568,"Chl"
1.0747456724812,0.125724117060697,0.956041511906843,1.19689384365374,"Baffin Bay",-0.276075187549798,"Chl"
1.03858641998578,0.12761390209851,0.918338528191015,1.16207858215062,"Baffin Bay",-0.211912451676029,"Chl"
1.0036113912123,0.12975885351099,0.88165480112854,1.12895569277274,"Baffin Bay",-0.147749715802259,"Chl"
0.969839515698709,0.132044736161096,0.845180622972932,1.09725332808439,"Baffin Bay",-0.0835869799284893,"Chl"
0.937283401764116,0.134381485682661,0.80926719117776,1.06615056882587,"Baffin Bay",-0.0194242440547199,"Chl"
0.905951552032809,0.13670181015652,0.775717007504647,1.03737260178619,"Baffin Bay",0.0447384918190496,"Chl"
0.875849546317487,0.138960018115028,0.742964119817276,1.00899027865417,"Baffin Bay",0.108901227692819,"Chl"
0.846981386861231,0.141126429392192,0.712484634372302,0.982538426402374,"Baffin Bay",0.173063963566589,"Chl"
0.819350525953915,0.14318054668885,0.681936920373973,0.956316932506673,"Baffin Bay",0.237226699440358,"Chl"
0.792960434141596,0.145109778749133,0.654698695282154,0.931516828656507,"Baffin Bay",0.301389435314128,"Chl"
0.767815066384167,0.146906155987417,0.629056957478553,0.908583296796078,"Baffin Bay",0.365552171187897,"Chl"
0.743918878960765,0.148557004029239,0.604517424340945,0.885311027734535,"Baffin Bay",0.429714907061667,"Chl"
0.721276540822628,0.150039501957941,0.579672330047167,0.863910684386905,"Baffin Bay",0.493877642935437,"Chl"
0.69989240963695,0.151324425276805,0.556272168295775,0.844347150167295,"Baffin Bay",0.558040378809206,"Chl"
0.679769944003396,0.152375709524329,0.53469747009607,0.825555996619565,"Baffin Bay",0.622203114682976,"Chl"
0.660910908137943,0.1531521705851,0.514859671233463,0.807462839667328,"Baffin Bay",0.686365850556745,"Chl"
0.64331427346495,0.153615468237351,0.49720901891693,0.790437410841365,"Baffin Bay",0.750528586430514,"Chl"
0.626975597515181,0.153735282936152,0.481135380867015,0.774284009406336,"Baffin Bay",0.814691322304284,"Chl"
0.611886371061752,0.153494424885707,0.466636627057628,0.759005242096298,"Baffin Bay",0.878854058178054,"Chl"
0.598033208316809,0.152892955436568,0.453417009685555,0.745089253604718,"Baffin Bay",0.943016794051823,"Chl"
0.585393949651884,0.151960202233413,0.442113121561666,0.731628832400459,"Baffin Bay",1.00717952992559,"Chl"
0.573938146254533,0.150749298740497,0.432286280621236,0.718682460101009,"Baffin Bay",1.07134226579936,"Chl"
0.563628180513509,0.14932674276023,0.42442287095484,0.707444359259535,"Baffin Bay",1.13550500167313,"Chl"
0.554419672863156,0.147762743165638,0.417054359522,0.695842522000032,"Baffin Bay",1.1996677375469,"Chl"
0.546262230155284,0.146121499660522,0.410342501378753,0.686790114857017,"Baffin Bay",1.26383047342067,"Chl"
0.539098905910355,0.144455735047351,0.404613729562205,0.678465765951728,"Baffin Bay",1.32799320929444,"Chl"
0.532866609157722,0.142802446827371,0.399493692702405,0.669769143477474,"Baffin Bay",1.39215594516821,"Chl"
